R. br.,Aktiva,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"16,645"
1.a.,Novcana sredstva i nekamatonosni racuni depozita,"13,204"
1.b.,Kamatonosni racuni depozita,"3,442"
1.c.,Sredstva klijenata iz kastodi poslova,
2.,"Aktiva za trgovinu i aktiva raspoloziva za prodaju, izuzev akcija",285
2.a.,"Aktiva za trgovinu, izuzev akcija",
2.b.,"Aktiva raspoloziva za prodaju, izuzev akcija",285
2.c.,"Derivatna, fin. imovina koja se drzi radi trgovanja",
2.d.,"Derivatna, fin. imovina koja se koristi kao instrument zastite (fer vrijednost derivata)",
3.,Hartije od vrijednosti kupljenje po ugovoru o ponovnoj prodaji,
4.,Krediti i poslovi lizinga,"67,167"
4.a.,Minus: Rezerve za kreditne gubitke,"2,659"
4.b.,"Krediti i poslovi lizinga, neto rezerve za gubitke","64,507"
5.,Hartije od vrijednosti koje se drze do dospijeca,"1,086"
6.,Faktoring i Forfeting,
7.,Potrazivanja iz kastodi poslova,"2,486"
8.,Poslovni prostor i ostala fiksna aktiva,"1,426"
9.,Stecena aktiva,
10.,Ulaganja u kapital drugih pravnih lica,188
11.,Ostala aktiva,"1,609"
12.,MINUS: Rezerve za gubitke na ostalu aktivu (osim pozicije 4.a),31
13.,UKUPNA AKTIVA:,"88,201"
R. br.,Obaveze,IZNOS
14.,Depoziti,"56,450"
14.a.,Nekamatonosni depoziti,"5,030"
14.b.,Kamatonosni depoziti,"51,421"
15.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
16.,Obaveze po osnovu kastodi poslova,15
17.,Obaveze po kreditima i pozajmicama,"7,000"
17.a.,Kratkorocne pozajmice - manje od jedne godine,"7,000"
17.b.,Dugorocne pozajmice - preko jedne godine,
18.,Obaveze prema Vladi,"2,009"
19.,Ostale pozajmice - dospjele obaveze,
19.a.,Dospjele obaveze,
19.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
20.,Derivatne finansijske obaveze koje se drze do dospijeca (fer vrijednost),
21.,Derivatne finansijske obaveze koje se koriste kao instrument zastite (fer vrijednost),
22.,Ostale obaveze,"2,464"
23.,Rezerve za kreditne gubitke po vanbilansnim kreditnim izlozenostima,583
24.,Subordinisani dug i hibridni instrumenti,
25.,UKUPNE OBAVEZE,"68,521"
26.,MANJINSKO UCESCE AKCIONARA,
R. br.,Kapital,IZNOS
27.,Povlascene akcije,
28.,Obicne akcije,"16,006"
29.,Emisione premije,"7,444"
30.,Nerasporedjena dobit/gubitak,"-3,769"
31.,Ostali kapital,
32.,UKUPAN KAPITAL: (27. do 31.),"19,680"
33.,UKUPNA PASIVA: (25. + 26. + 32. ),"88,201"
