Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"62,002"
2. Finansijska sredstva po amortizovanoj vrijednosti,"256,882"
2.a. Krediti i potrazivanja od banaka,"38,474"
2.b. Krediti i potrazivanja od klijenata,"96,772"
2.c. Hartije od vrijednosti,"121,600"
2.d. Ostala finansijska sredstva,36
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,
4.d. Ostala finansijska sredstva,
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja",
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,
5.c. Hartije od vrijednosti,
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,36
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala",
9. Investicione nekretnine,574
"10. Nekretnine, postrojenja i oprema","3,926"
11. Nematerijalna sredstva,150
12. Tekuca poreska sredstva,6
13. Odlozena poreska sredstva,2
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,
15. Ostala sredstva,443
16. UKUPNA SREDSTVA:,"324,020"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"292,897"
17.a. Depoziti banaka i centralnih banaka,4
17.b. Depoziti klijenata,"289,673"
17.c. Krediti banaka i centralnih banaka,
17.d. Krediti klijenata koji nijesu banke,"3,217"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,2
18. Finansijske obaveze koje se drze radi trgovanja,
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,
20. Derivatne finansijske obaveze kao instrument zastite,0
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,416
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,653
25. Odlozene poreske obaveze,
26. Ostale obaveze,"9,400"
27. Subordinisani dug,
28. UKUPNE OBAVEZE:,"303,366"
Kapital,IZNOS
29. Akcijski kapital,"15,500"
30. Emisione premije,
31. Nerasporedena dobit,"1,642"
32. Dobit/gubitak tekuce godine,"3,512"
33. Ostale rezerve,
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"20,654"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"324,020"
