Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"8,427"
2. Krediti i potrazivanja od banaka,"14,550"
3. Krediti i potrazivanja od klijenata,"38,295"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"2,030"
8.a. - raspolozive za prodaju,"2,030"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",488
13. Nematerijalna sredstva,383
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,94
17. Ostala poslovna potrazivanja,97
18. UKUPNA SREDSTVA:,"64,364"
Obaveze,IZNOS
19. Depoziti banaka,0
20. Depoziti klijenata,"48,576"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"4,929"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,19
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,18
30. Ostale obaveze,"1,144"
31. Subordinisani dug,"2,000"
32. UKUPNE OBAVEZE:,"56,687"
Kapital,IZNOS
33. Akcijski kapital,"8,500"
34. Emisione premije,
35. Nerasporedjena dobit,-864
36. Dobit/gubitak tekuce godine,41
37. Ostale rezerve,
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"7,677"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"64,364"
