Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"8,195"
2. Krediti i potrazivanja od banaka,"1,098"
3. Krediti i potrazivanja od klijenata,"15,960"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,400
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,400
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,090"
13. Nematerijalna sredstva,358
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,61
17. Ostala poslovna potrazivanja,206
18. UKUPNA SREDSTVA:,"27,369"
Obaveze,IZNOS
19. Depoziti banaka,400
20. Depoziti klijenata,"14,743"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"4,659"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,2
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,3
30. Ostale obaveze,"2,930"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"22,738"
Kapital,IZNOS
33. Akcijski kapital,"5,700"
34. Emisione premije,
35. Nerasporedjena dobit,-591
36. Dobit/gubitak tekuce godine,-478
37. Ostale rezerve,
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"4,631"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"27,369"
