Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"43,532"
2. Krediti i potrazivanja od banaka,"12,929"
3. Krediti i potrazivanja od klijenata,"190,820"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,648
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,648
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,451"
13. Nematerijalna sredstva,150
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,444
17. Ostala poslovna potrazivanja,384
18. UKUPNA SREDSTVA:,"250,359"
Obaveze,IZNOS
19. Depoziti banaka,750
20. Depoziti klijenata,"186,635"
21. Pozajmljena sredstva od banaka,"25,641"
22. Pozajmljena sredstva od ostalih klijenata,"6,611"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"1,810"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"2,206"
31. Subordinisani dug,"5,502"
32. UKUPNE OBAVEZE:,"229,155"
Kapital,IZNOS
33. Akcijski kapital,"125,100"
34. Emisione premije,
35. Nerasporedjena dobit,"-106,904"
36. Dobit/gubitak tekuce godine,420
37. Ostale rezerve,"2,588"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"21,204"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"250,359"
