Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"68,703"
2. Finansijska sredstva po amortizovanoj vrijednosti,"208,145"
2.a. Krediti i potrazivanja od banaka,"6,407"
2.b. Krediti i potrazivanja od klijenata,"198,218"
2.c. Hartije od vrijednosti,
2.d. Ostala finansijska sredstva,"3,520"
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,"23,519"
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,"23,519"
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,17
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,17
4.d. Ostala finansijska sredstva,
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja",
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,
5.c. Hartije od vrijednosti,
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala","9,250"
9. Investicione nekretnine,
"10. Nekretnine, postrojenja i oprema","1,752"
11. Nematerijalna sredstva,355
12. Tekuca poreska sredstva,1
13. Odlozena poreska sredstva,191
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,
15. Ostala sredstva,"42,390"
16. UKUPNA SREDSTVA:,"354,323"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"304,116"
17.a. Depoziti banaka i centralnih banaka,0
17.b. Depoziti klijenata,"301,732"
17.c. Krediti banaka i centralnih banaka,
17.d. Krediti klijenata koji nijesu banke,"2,384"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,
18. Finansijske obaveze koje se drze radi trgovanja,
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,
20. Derivatne finansijske obaveze kao instrument zastite,
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,211
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,
25. Odlozene poreske obaveze,
26. Ostale obaveze,"3,791"
27. Subordinisani dug,"7,922"
28. UKUPNE OBAVEZE:,"316,041"
Kapital,IZNOS
29. Akcijski kapital,"55,428"
30. Emisione premije,
31. Nerasporedena dobit,"-29,682"
32. Dobit/gubitak tekuce godine,"1,551"
33. Ostale rezerve,"10,985"
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"38,283"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"354,323"
