POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"5,486"
2. Rashodi od kamata i slicni rashodi,"2,174"
3. NETO PRIHODI OD KAMATA (1- 2),"3,312"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,249
6. Troskovi rezervisanja,4
7. Prihodi od naknada i provizija,"1,313"
8. Rahodi naknada i provizija,801
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),511
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,14
15. Troskovi zaposlenih,"1,938"
16. Opsti i administrativni troskovi,"1,117"
17. Troskovi amortizacije,284
18. Ostali rashodi,11
19. Ostali prihodi,
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),235
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),235
