POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"6,008"
2. Rashodi od kamata i slicni rashodi,"1,897"
3. NETO PRIHODI OD KAMATA (1- 2),"4,111"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"1,065"
6. Troskovi rezervisanja,-10
7. Prihodi od naknada i provizija,"1,563"
8. Rahodi naknada i provizija,731
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),832
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,49
15. Troskovi zaposlenih,"1,711"
16. Opsti i administrativni troskovi,881
17. Troskovi amortizacije,270
18. Ostali rashodi,9
19. Ostali prihodi,225
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"1,290"
21. Porez na prihod,90
22. NETO PROFIT/GUBITAK (20 - 21),"1,200"
