POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"6,599"
2. Prihodi od kamata na obezvrijedene plasmane,
3. Rashodi od kamata i slicni rashodi,"1,326"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"5,273"
4. Prihodi od naknada i provizija,"1,335"
5. Rashodi naknada i provizija,860
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),475
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,79
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,-183
12. Ostali prihodi,788
13. Troskovi zaposlenih,"2,164"
14. Troskovi amortizacije,471
15. Opsti i administrativni troskovi,"1,774"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,-50
18. Troskovi rezervisanja,-182
19. Ostali rashodi,6
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"2,248"
21. Porez na dobit,
22. NETO PROFIT/GUBITAK (III - 21),"2,248"
